id,budget_EUR,local_currency,budget_local
ad74e8a6-5d25-4c1e-a91e-84d740d4acdb,102.6869139810088,MWK,190858.2849046944
dc3ab410-3d40-4b7b-81a8-07b2e6af4932,969.405048109958,LTL,969.405048109958
38f5d460-232a-461c-b6ae-267c184fc0bd,894.7313851102089,SBD,8279.880921796663
c7e438ac-2c99-4d87-a356-676b6062e77d,895.1944358135232,STD,895.1944358135232
dd32e982-c764-419b-8699-522253510b63,106.47752766353368,EGP,3622.2152513218825
d8cbe78b-87d3-450e-b18f-79633f803e2f,361.8904433423608,JEP,312.88758219025846
58a6d690-9d39-4393-947e-4a7c1202de4f,194.9651553808144,CLP,186799.70974796286
15e15cbd-a3b4-42de-90e8-71399d3739a0,674.5608269827513,NOK,7888.287328303215
ed67b953-ce71-4952-93bf-7ae46fd3cc73,635.5789193312133,XOF,416912.4411877447
3ee7edcb-6b45-485d-bd7a-da17576d56aa,885.6096214848591,BIF,2765088.672557862
5f41ff33-f00b-4e69-8919-c6a38b232e50,170.20626648429672,OMR,71.80457722919729
b73d45f4-e0ce-4ff3-9fc7-304309ee1df1,228.2370189673764,GNF,2149789.4060491375
4482e8ac-0cde-4fc3-9c49-8062d1957064,11.559259352363016,XAU,11.559259352363016
d1a018e2-0da8-493e-b257-603099b0ab1d,800.1772147319867,MZN,56155.31668179021
d88e5dba-14da-4003-a893-931f8c9d636e,62.71495647372704,AFN,4887.305251092038
8d60dcfe-f320-4bd3-b545-bc2436bc91c8,654.8401042071783,ZAR,13429.27815669174
7cc7a344-563d-4462-8069-f52163e09abc,666.4707820212694,QAR,2661.7436780579437
af52e756-285e-4cb7-87b1-e3c1d2233dce,781.7776846748111,CNY,6124.948283016031
795a1053-89fd-4e19-804c-199fd16313cb,545.3431123839655,GEL,1621.6715436890515
a50c1858-21e5-42b7-ab9e-766c819d47b6,164.05452665090414,BND,239.93417469916685
fef92f7b-f08c-4c7c-8c54-4674ff97cd9e,322.6785026057779,XDR,265.19332736655855
3e6b624d-812d-48be-99fc-f1db77ec0b2e,938.1840800422178,GIP,811.1464501318612
9daaddae-1158-4bfd-8caa-4dffb72dc469,157.5431980749259,UZS,2122743.0779916802
905a683a-7e96-478d-8ac4-cea4ac8b1e53,391.3858470266172,MAD,4303.157447956444
db6edf78-f028-46e2-bc5a-253e9a92d00e,581.0849906635472,RON,2889.479981173928
4f2fccdf-f0ca-4b91-b408-3f2a8a2d3f25,588.4807587584835,JMD,99257.64369926073
c4da736a-0b4d-4b49-bb3a-20d11a7e8fef,374.7477361235588,GNF,3529789.850499576
1dd3ddee-aa9b-41d8-b589-3ca33882e4b5,588.3384169866422,SOS,370072.5191557414
04ef7a53-b9dc-4507-a271-fd878423f8d4,349.9928123182687,GIP,302.6009855878766
81fd8bc8-0e95-4cdd-a53a-6363487ebe6b,813.8885434138904,IMP,703.6815235273024
ed6e72ff-c97c-476c-a154-63cb899b1f91,170.48054224984998,BAM,333.43095894852405
cd97fc3f-00d2-4577-8ba7-febe01417c0c,64.49440599904032,NIO,2547.7545094054653
114d061f-b884-43ff-bc33-074023cd7351,57.01372272501304,NAD,1168.5269206319683
34291fea-bce5-4701-a75f-9d4bd9b2255f,378.6233315946735,TZS,1044367.2555868563
4bdcf775-83df-43d4-8162-6646d232fb00,937.903883131663,CLP,898623.0016244357
a0579b38-3f29-4453-8d97-f149227ded18,445.1215383692392,JEP,384.8485211017373
3cd2dc39-6faf-4528-8751-4eccb21ee990,677.3051725208516,IQD,975345.3878635234
a66ac81c-67f6-4874-a099-1bf44a0437db,68.58041313831664,NIO,2709.166076087839
18561343-9e0f-4648-802a-0540d70d0762,419.8980404834671,XCD,1243.9168724772755
740dc282-ba9c-4953-8938-0616dcce75f2,240.5349548945092,NGN,205700.40490881348
6a299cca-75ac-48c7-8639-daf78561ac08,933.0662621645936,XDR,766.8405075599712
b42758e9-2e4e-4194-b289-a55069959b6c,873.3616285120037,KYD,798.5398644357517
016b2f67-f4df-4210-882e-dd1c25476b63,536.4709800096695,BTC,536.4709800096695
0558e9ef-65e9-457d-ace6-59a86a6828f4,865.8082255484285,PGK,3473.9524738342293
711d06fc-744c-4a1c-9766-4bb5ac41f9ba,483.6598900891748,CUC,483.6598900891748
559f2c5d-092b-4ed7-b23d-81bbe4aa9114,5.305007444966092,MVR,88.40726472439954
f82d47a7-7af4-4c7c-b8e9-86136a99bef6,794.1423321825936,ZMW,20754.19194692379
98472f20-d330-4203-acd4-ea77855eb196,602.0585298271073,HKD,5156.353758986924
59f2ae43-88fe-40b5-a882-5de3c2d59894,241.7005472799729,KWD,81.43785729887223
ebd52133-d1c0-4c18-b946-29e04ddc2f52,203.97422031209976,SOS,128302.43848489123
9ecad8cd-5776-43e0-b0c1-3a8059946604,834.5357636977141,PAB,915.6484672503133
643ea17f-456e-47da-9f31-a292203d2f1a,232.247859671504,JPY,37532.43185181144
082dfc94-b841-4e21-bb71-844d9e3af2c4,559.5195880592196,NGN,478489.3150713592
86027cea-71ed-418a-8dca-9c1d62b6bbeb,461.2481018534908,DJF,89940.86790426802
e806e2d1-6e70-4222-ad9b-f156278d1ee9,86.56806653001759,KMF,42588.69691262306
e51b585d-7e6b-41a8-9778-2971870bebc7,214.6016142946133,LRD,44167.42863600838
993fad37-33c2-4bd1-b973-4e2b1217968f,10.547062792503503,KMF,5188.814751136666
94a5c93c-799c-4de7-9212-d781fea17574,403.63798804162553,CLP,386732.9978126289
2d0cc2da-d97f-4c6e-a23d-3b9a676a25a9,247.10311456770395,GGP,213.6433760303203
89c5cc96-1dc2-4bcd-a8ad-c11102b6b246,77.74839964771074,UYU,3318.945064971379
ddb1c9c1-3b72-4c00-8378-e1cddd9f6736,448.08554149579226,MGA,2197336.8771543964
c82c8a96-095e-4c50-b493-d9cd8207acac,322.66778962655275,BOB,2410.5897494199467
9d441437-dfc3-4ce2-b119-0edfd16d361a,415.5764776599586,PHP,25288.532236585157
62ab6a7a-05e5-4ac8-bb46-576bc910d56e,766.7710456552539,DJF,149516.17806765987
5425fe41-4a47-4cd8-bcb4-8a7b618aa85c,598.8161955239767,INR,54771.75328745683
b561d4d2-4e6d-4a70-955e-2eafc52be637,27.29294954232453,MYR,139.4575288007367
1470e880-ce4c-4b7b-a3e2-4aa599a163c6,137.93320538125175,CDF,376434.178264755
7b3e47c8-a7cf-4ee5-a856-e842ab15a591,281.2749570902344,MAD,3092.5247699213737
902337e5-8148-4bac-b409-ed23a86200a8,699.1756425486415,SCR,10421.287763981252
15fd1196-ae19-4cc2-b49a-3f0a321efa57,201.2739291879926,RSD,23588.02641138239
24aa759d-4b3b-4f74-961e-7256bcdd8214,381.8348196631891,XDR,313.81094654019194
679fa1b7-90bc-4222-968a-55cc6a225b22,113.34813070163364,CLP,108600.9337113728
59d63287-547a-4042-91f3-379e22fcb1c1,430.8802860026927,BOB,3219.0247494717764
58d987b0-3ae1-402f-8f8c-9deffe9faabb,819.7637842076033,CVE,90391.25366565138
338e58f8-aa97-4603-add2-0ebe15cf6622,454.3110056967614,DJF,88588.17193313145
f100cd64-c5aa-4d7a-8d88-74027ffafd21,624.2574752601331,AOA,575522.7360523008
bfe721fb-414d-4621-bc85-287df32ef458,960.6252961079348,NPR,140584.35162817207
6646b46b-b0d6-4958-8720-2ca843cb02f9,39.339687730912345,PKR,12235.940149856355
a2e19ff2-7dca-4520-b130-50b46c2c7d49,994.4183764884868,JMD,167726.17189681163
8e6b26cd-6118-4765-aae8-727c47666a68,891.5523114246814,PYG,7188076.0400391985
9722ea70-ab17-427b-9af2-63b25aa592c6,96.17032152102578,HKD,823.6544693093647
525c88de-0aaa-4bf8-aec8-a8454ef9e9bb,234.02746915971076,IRR,10925754.04703433
d547a1c7-82e1-4118-92aa-825aab30fade,994.0380932055753,EUR,994.0380932055753
